SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Black or African American,Fremont Federation,496,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Black or African American,Westlake,484,English Only,0.50,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94602,Chinese,Oakland Technical HS,273,Redesignated (RFEP),3.06,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94612,Black or African American,Oakland Technical HS,293,English Only,3.23,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Edna Brewer,306,English Only,3.00,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94601,Filipino,Oakland Technical HS,124,English Learner,3.90,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Hispanic or Latino,Westlake,489,English Only,0.50,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Black or African American,Edna Brewer,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94618,Chinese,Oakland Technical HS,141,Redesignated (RFEP),3.87,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,White (not Hispanic),Oakland Technical HS,327,Redesignated (RFEP),2.95,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Black or African American,Middle School Registration,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,White (not Hispanic),Middle School Registration,103,English Only,3.83,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94606,Other Asian,Oakland Technical HS,342,English Learner,2.94,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Chinese,Westlake,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,Chinese,Middle School Registration,103,English Learner,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94619,Vietnamese,High School Registration,63,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Middle School Registration,379,English Only,2.17,Below,3
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Hispanic or Latino,Westlake,390,English Learner,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94602,White (not Hispanic),Oakland Technical HS,103,English Only,4.03,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,Korean,Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Chinese,Westlake,275,Redesignated (RFEP),3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94621,Hispanic or Latino,Oakland Technical HS,504,Redesignated (RFEP),0.88,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Hispanic or Latino,Urban Promise Academy,492,Redesignated (RFEP),0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,Hispanic or Latino,Oakland Unified School District,521,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94618,Hispanic or Latino,Inactive Students School,33,Initially Fluent (IFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Hispanic or Latino,Middle School Registration,406,English Learner,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94619,Hispanic or Latino,Oakland Technical HS,286,English Learner,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Hispanic or Latino,Montera,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94612,Black or African American,High School Registration,471,English Only,1.33,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Chinese,Edna Brewer,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Chinese,Edna Brewer,206,Redesignated (RFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Black or African American,High School Registration,379,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94610,White (not Hispanic),Oakland Technical HS,192,English Only,3.64,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94619,Hispanic or Latino,Middle School Registration,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Life Academy,273,English Only,3.13,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Edna Brewer,496,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Chinese,Edna Brewer,206,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),High School Registration,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94603,Black or African American,Oakland Technical HS,231,English Only,3.56,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Other Asian,Inactive Students School,153,Initially Fluent (IFEP),3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Japanese,High School Registration,103,English Only,3.83,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Claremont,390,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,White (not Hispanic),Middle School Registration,327,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Claremont,258,English Only,3.17,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Black or African American,La Escuelita,326,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,Black or African American,Montera,327,English Only,2.83,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94621,Black or African American,Oakland Technical HS,339,English Only,3.08,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94602,Hispanic or Latino,Oakland Technical HS,508,English Only,0.88,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,White (not Hispanic),Montera,206,English Only,3.67,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Inactive Students School,306,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,American Indian or Alaskan Native,Inactive Students School,327,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Black or African American,Claremont,237,English Only,3.50,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94609,Other or Not Specified,Oakland Technical HS,355,English Only,2.84,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Claremont,481,English Only,0.83,Below,1
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,95207,Black or African American,High School Registration,494,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94572,Black or African American,Claremont,390,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Black or African American,High School Registration,447,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Westlake,360,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94603,Black or African American,Inactive Students School,432,English Only,1.50,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Black or African American,Middle School Registration,327,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94618,Black or African American,Oakland Technical HS,287,English Only,2.94,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Black or African American,Claremont,465,English Only,1.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,275,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,Other Asian,Westlake,206,Initially Fluent (IFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94611,Black or African American,Oakland Technical HS,290,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94612,Black or African American,Oakland Unified School District,285,English Only,3.09,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94601,Other or Not Specified,Oakland Technical HS,438,English Learner,2.05,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,White (not Hispanic),Middle School Registration,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94601,Black or African American,Oakland Technical HS,291,Initially Fluent (IFEP),3.11,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94607,Chinese,Oakland Technical HS,33,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,White (not Hispanic),Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Claremont,285,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),Edna Brewer,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Vietnamese,High School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Chinese,Middle School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Chinese,Edna Brewer,153,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94612,Chinese,Oakland Technical HS,348,Redesignated (RFEP),2.72,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,White (not Hispanic),Middle School Registration,2,English Only,4.17,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94602,White (not Hispanic),Oakland Technical HS,117,English Only,3.97,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,White (not Hispanic),Edna Brewer,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Other or Not Specified,Montera,275,English Only,3.17,Above,4
